Actual Price,Predicted Price
183.5621795654297,191.6893846179779
182.187744140625,182.227675134568
179.8739471435547,182.94261885939156
179.152099609375,179.06901569236274
183.48306274414062,178.99468827435328
183.0677947998047,182.59703612203447
184.10601806640625,183.74972547343418
183.51275634765625,183.10011825782533
183.83905029296875,183.21390842501322
181.57469177246094,184.78535575158253
180.63531494140625,180.43110852550325
186.5187225341797,180.8287953424605
189.4159393310547,183.81106262194916
191.7198486328125,183.96852701218512
192.99539184570312,190.8345113292876
192.32302856445312,192.24626589063388
191.99673461914062,192.8888005027189
190.26629638671875,192.09586371609524
189.58401489257812,191.57630838697511
185.935302734375,187.85693513940976
182.3360595703125,186.8476739161626
184.76853942871094,184.24889664444095
183.7698516845703,182.32120667584738
185.57936096191406,179.09637077976407
187.18121337890625,183.94374454134984
187.2899932861328,186.1008248063345
186.21218872070312,187.7863191304311
186.9745330810547,186.42657443681657
185.29144287109375,188.99017709795564
183.20236206054688,187.2255677655538
182.32119750976562,183.17059029706317
182.03411865234375,183.72855170633886
180.49945068359375,182.63439504914058
179.75692749023438,183.5150428182153
180.50942993164062,180.58812292534418
182.5390167236328,180.89106418579343
180.7073974609375,183.63096519094248
179.36093139648438,184.02645944377358
180.8162841796875,180.86124757736448
179.6183319091797,182.5235170346765
178.95498657226562,181.01633094842094
177.87582397460938,177.93747986284893
173.361083984375,176.12266976620478
168.43052673339844,172.9357877140029
167.44049072265625,169.05554097203242
167.3216552734375,167.47513567309588
169.03451538085938,168.09658689952795
171.03443908691406,171.17468207699417
171.50967407226562,172.05441160933464
169.43052673339844,170.4283232506767
171.28195190429688,170.00829981017455
170.90573120117188,171.6167930058383
171.9947967529297,170.6637542151983
174.33135986328125,172.9069750124337
176.89564514160156,174.04249284270588
169.6681365966797,175.93695278083678
170.569091796875,169.71741107391838
169.1533203125,171.92455903983412
168.02459716796875,169.72551793065247
171.58885192871094,168.19028638799523
169.77703857421875,171.99405376231906
168.34144592285156,168.751494431504
167.1632537841797,168.7672581856662
167.96524047851562,165.25207830941508
167.1434783935547,169.29947799168423
167.89590454101562,169.42483368310133
166.77711486816406,166.8347476201963
167.9850311279297,165.68677843165173
166.11378479003906,165.8100326215572
173.3016815185547,164.7263149241302
174.79669189453125,171.32645575789064
170.97503662109375,173.59788946534601
167.69789123535156,169.6956954398443
166.3316192626953,170.34276497301545
165.38111877441406,167.67425919013363
163.3614044189453,164.90433832377843
164.19305419921875,162.82633551151216
165.24252319335938,164.17583205214316
167.34146118164062,164.1683114117934
168.20285034179688,164.81239550458642
167.61866760253906,167.86270992583133
171.77696228027344,168.5242754206074
168.63844299316406,174.27150869149543
167.61866760253906,172.17776625912896
171.31166076660156,170.78743008846828
181.55885314941406,169.6060327141101
179.9054412841797,181.77589617792768
180.58859252929688,179.70534677587239
180.92523193359375,181.90287490844727
182.737060546875,182.3210865267799
181.47792053222656,183.82251170797193
184.68023681640625,183.89866294272946
185.82034301757812,184.05155582924493
188.09068298339844,186.06104987716674
188.2096405029297,183.99177995879927
188.2393798828125,187.42257085736404
189.39935302734375,188.0532910713591
190.69810485839844,187.803246246068
189.2605438232422,190.32459369675973
185.27508544921875,189.1703464176304
188.3484344482422,186.2116464662066
188.35836791992188,188.14713325110264
188.65576171875,190.49429826527788
189.64718627929688,188.1001851722454
190.59893798828125,188.80533393373847
192.3636474609375,185.39235203367295
192.680908203125,191.52361896227507
194.18785095214844,191.87016718138065
192.80979919433594,193.5563316838727
195.1990966796875,192.59564979047394
191.46145629882812,192.9834457932753
205.3709716796875,192.11661358430646
211.24014282226562,194.11428613535563
212.40008544921875,194.28321205139162
210.66513061523438,194.6464418106079
